강의번호,강의명,강의실,담당교수,정원,이수구분,영역,학년,학과ID,학점,현재인원
10251,교육과정,6209,,30,,비영역과목,전체학년,,2,0
11423,교육방법및교육공학,7508,,30,,비영역과목,전체학년,,2,0
11424,교육방법및교육공학,7508,,30,,비영역과목,전체학년,,2,0
11425,교육방법및교육공학,6209,,30,,비영역과목,전체학년,,2,0
11426,교육심리,7508,,30,,비영역과목,전체학년,,2,0
11427,교육심리,7313,,30,,비영역과목,전체학년,,2,0
10366,교육학개론,7313,,30,,비영역과목,전체학년,,2,0
11719,교육학개론,7313,,30,,비영역과목,전체학년,,2,0
11720,교육학개론,6207,,30,,비영역과목,전체학년,,2,0
12565,교육행정및교육경영,6209,,30,,비영역과목,전체학년,,2,0
11905,동서고전읽기,U626,,30,,인문학영역,전체학년,,2,0
13144,미술과감상,6412,,30,,문화예술스포츠영역,전체학년,,2,0
13033,보건학,3124,,30,,과학기술영역,전체학년,,2,0
11912,사회생활과법,U421,,30,,경제사회영역,전체학년,,2,0
11913,생명의신비,6516,,30,,과학기술영역,전체학년,,2,0
11920,시사영어,6516,,30,,외국어영역,전체학년,,2,0
13197,심리학개론,6506,,30,,인문학영역,전체학년,,2,0
11935,인간과윤리,RC208,,30,,인문학영역,전체학년,,2,0
13053,일반물리학,9529,,30,,MSC영역,전체학년,,3,0
13054,일반물리학,H205,,30,,MSC영역,전체학년,,3,0
11950,일반물리학1,M102,,30,,MSC영역,전체학년,,3,0
11951,일반물리학1,9547,,30,,MSC영역,전체학년,,3,0
11952,일반물리학1,B114,,30,,MSC영역,전체학년,,3,0
13180,일반생물학,3502,,30,,MSC영역,전체학년,,3,0
13056,일반수학,H216,,30,,MSC영역,전체학년,,3,0
13057,일반수학,9529,,30,,MSC영역,전체학년,,3,0
13308,일반수학,M502,,30,,MSC영역,전체학년,,3,0
11959,일반수학1,9547,,30,,MSC영역,전체학년,,3,0
11960,일반수학1,9543,,30,,MSC영역,전체학년,,3,0
13058,일반수학1,M102,,30,,MSC영역,전체학년,,3,0
13059,일반수학1,H216,,30,,MSC영역,전체학년,,3,0
13061,일반화학,9529,,30,,MSC영역,전체학년,,3,0
13179,일반화학,3223,,30,,MSC영역,전체학년,,3,0
13090,테니스,X002,,30,,문화예술스포츠영역,전체학년,,1,0
11947,현대사회와철학,RC208,,30,,인문학영역,전체학년,,2,0
13106,환경과인간,3124,,30,,과학기술영역,전체학년,,2,0
13107,환경과학,6129,,30,,과학기술영역,전체학년,,2,0
13132,댄스스포츠,RC108,,30,,문화예술스포츠영역,전체학년,,1,0
13133,댄스스포츠,RC108,,30,,문화예술스포츠영역,전체학년,,1,0
10213,소년비행론,BI208,,30,,비영역과목,전체학년,,3,0
12036,경찰과사회,RC208,,30,,경제사회영역,전체학년,,2,0
11721,교육사회,6209,,30,,비영역과목,전체학년,,2,0
12039,경영학개론,U111,,30,,비영역과목,전체학년,,3,0
12040,경영학개론,U529,,30,,비영역과목,전체학년,,3,0
12041,경영학개론,U529,,30,,비영역과목,전체학년,,3,0
12042,경영학개론,U305,,30,,비영역과목,전체학년,,3,0
12043,경영학개론,U428,,30,,비영역과목,전체학년,,3,0
12044,경영학개론,U521,,30,,비영역과목,전체학년,,3,0
12045,경영학개론,,,30,,비영역과목,전체학년,,3,0
12046,경영학개론,U639,,30,,비영역과목,전체학년,,3,0
13157,일본문화의이해,U606,,30,,국제화영역,전체학년,,2,0
13158,일본문화의이해,RC202,,30,,국제화영역,전체학년,,2,0
11929,영화속의법,U421,,30,,경제사회영역,전체학년,,2,0
13051,영상을통해본범죄심리,RC208,,30,,경제사회영역,전체학년,,2,0
11907,문화와역사,U632,,30,,인문학영역,전체학년,,2,0
11918,소비생활과법,U421,,30,,경제사회영역,전체학년,,2,0
13026,무용의이해,9144,,30,,문화예술스포츠영역,전체학년,,2,0
13168,아동발달과교육,6516,,30,,인문학영역,전체학년,,2,0
13004,골프,X008,,30,,문화예술스포츠영역,전체학년,,1,0
13040,수상스키,5303,,30,,문화예술스포츠영역,전체학년,,1,0
13078,윈드서핑,G203,,30,,문화예술스포츠영역,전체학년,,1,0
11939,중국어1,U603,,30,,외국어영역,전체학년,,2,0
11940,중국어1,U603,,30,,외국어영역,전체학년,,2,0
13237,취업영어,6506,,30,,취업과창업영역,전체학년,,2,0
13077,우리문화,BI101,,30,,국제화영역,전체학년,,1,0
10001,현장실습(인턴십2),,,30,,비영역과목,전체학년,,12,0
10106,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
10255,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
10468,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
10745,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
10854,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
10957,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
11073,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
11203,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
11272,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
11318,현장실습(인턴십2),,,30,,비영역과목,전체학년,,12,0
11357,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
11607,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
11655,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12313,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12350,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12392,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
12522,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
12612,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
12631,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12650,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
12975,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12986,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
13062,현장실습(인턴십2),,,30,,비영역과목,전체학년,,12,0
13120,현장실습(인턴십2),X016,,30,,비영역과목,전체학년,,12,0
13309,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
12967,경찰기획론,BI203,,30,,비영역과목,전체학년,,3,0
10214,서예,BI202,,30,,비영역과목,전체학년,,1,0
11914,서예,RC208,,30,,문화예술스포츠영역,전체학년,,1,0
11915,서예,RC208,,30,,문화예술스포츠영역,전체학년,,1,0
11503,문화인턴쉽1,BI204,,30,,비영역과목,전체학년,,6,0
11507,사물놀이,RC108,,30,,비영역과목,전체학년,,1,0
11504,문화인턴쉽2,BI204,,30,,비영역과목,전체학년,,6,0
13151,종교와영화,U606,,30,,인문학영역,전체학년,,2,0
13020,대학생활과진로탐색,U632,,30,,자기계발·리더십영역,전체학년,,2,0
11948,화석으로본지구의역사,6516,,30,,과학기술영역,전체학년,,2,0
13079,이순신리더십과충무공정신,6129,,30,,자기계발·리더십영역,전체학년,,2,0
11932,오페라의이해와감상,U632,,30,,문화예술스포츠영역,전체학년,,2,0
11933,오페라의이해와감상,RC202,,30,,문화예술스포츠영역,전체학년,,2,0
12465,실무영어,U626,,30,,외국어영역,전체학년,,2,0
12466,실무영작문,U629,,30,,외국어영역,전체학년,,2,0
12470,영어토론,RC206,,30,,외국어영역,전체학년,,2,0
12468,영어읽기와말하기,U603,,30,,외국어영역,전체학년,,2,0
13236,봉사학습,X016,,30,,비영역과목,전체학년,,1,0
13162,요가필라,RC108,,30,,문화예술스포츠영역,전체학년,,1,0
11904,대학토익1,6508,,30,,외국어영역,전체학년,,2,0
13129,대학토익1,U613,,30,,외국어영역,전체학년,,2,0
13130,대학토익1,U626,,30,,외국어영역,전체학년,,2,0
11917,성공하는사람의대인관계기법,6516,,30,,자기계발·리더십영역,전체학년,,2,0
11903,대학생을위한리더십개발프로젝트,6516,,30,,자기계발·리더십영역,전체학년,,2,0
11906,리더를위한비전과자기성취,6516,,30,,자기계발·리더십영역,전체학년,,2,0
13280,대화의기술과인간관계,U632,,30,,자기계발·리더십영역,전체학년,,2,0
10426,아동상담론,6403,,30,,비영역과목,전체학년,,3,0
10929,교육봉사활동,6209,,30,,비영역과목,전체학년,,2,0
13015,내아이디어로창업하기,ML205,,30,,취업과창업영역,전체학년,,2,0
11916,서예와문자디자인,RC208,,30,,문화예술스포츠영역,전체학년,,2,0
10274,심리학개론,6403,,30,,비영역과목,전체학년,,3,0
10261,사회문제론,6403,,30,,비영역과목,전체학년,,3,0
10435,영유아프로그램개발과평가,6403,,30,,비영역과목,전체학년,,3,0
13043,아산문화의이해와탐방,6129,,30,,인문학영역,전체학년,,2,0
11422,현장실습(인턴십2),인턴십,,30,,비영역과목,전체학년,,12,0
10259,복지국가론,6403,,30,,비영역과목,전체학년,,3,0
10123,프로그램개발과평가,6403,,30,,비영역과목,전체학년,,3,0
11891,7H리더십워크숍,U626,,30,,자기계발·리더십영역,전체학년,,2,0
11892,7H리더십워크숍,U626,,30,,자기계발·리더십영역,전체학년,,2,0
11893,7H리더십워크숍,U626,,30,,자기계발·리더십영역,전체학년,,2,0
13031,벤처정신과국가경쟁력,9142,,30,,취업과창업영역,전체학년,,2,0
10262,사회복지개론,6403,,30,,비영역과목,전체학년,,3,0
10277,인간행동과사회환경,6403,,30,,비영역과목,전체학년,,3,0
10273,사회학개론,6403,,30,,비영역과목,전체학년,,3,0
11931,예술과철학,6129,,30,,인문학영역,전체학년,,2,0
13108,회계학개론,U626,,30,,경제사회영역,전체학년,,2,0
13119,스포츠와문화,3330,,30,,문화예술스포츠영역,전체학년,,2,0
10278,자원봉사론,6403,,30,,비영역과목,전체학년,,3,0
11510,TESOL개론,BI203,,30,,비영역과목,전체학년,,3,0
11537,과학수사,U307,,30,,비영역과목,전체학년,,3,0
11635,민간경호론,BI208,,30,,비영역과목,전체학년,,3,0
10424,아동발달,6403,,30,,비영역과목,전체학년,,3,0
10267,사회복지윤리와철학,6403,,30,,비영역과목,전체학년,,3,0
13124,교향악입문2,6128,,30,,문화예술스포츠영역,전체학년,,2,0
11897,고급한국어1,U613,,30,,외국인한국어영역,전체학년,,2,0
13123,교향악입문1,6128,,30,,문화예술스포츠영역,전체학년,,2,0
13113,미학과치유,1103,,30,,인문학영역,전체학년,,2,0
13052,영화로읽는스포츠,3330,,30,,문화예술스포츠영역,전체학년,,2,0
13103,홍가신의실천사상,ML325,,30,,인문학영역,전체학년,,2,0
13086,직업과창업,U609,,30,,취업과창업영역,전체학년,,2,0
12032,알기쉬운금융,U609,,30,,경제사회영역,전체학년,,2,0
13037,세종과맹사성의리더십,6129,,30,,자기계발·리더십영역,전체학년,,2,0
11919,수학과문화,U634,,30,,과학기술영역,전체학년,,2,0
10932,학교현장실습,6209,,30,,비영역과목,전체학년,,2,0
11724,특수교육학개론,U313,,30,,비영역과목,전체학년,,2,0
12464,시사영어토론,RC211,,30,,외국어영역,전체학년,,2,0
12469,영어작문1,6506,,30,,외국어영역,전체학년,,2,0
12471,영어작문2,U601,,30,,외국어영역,전체학년,,2,0
12467,영어면접,RC307,,30,,외국어영역,전체학년,,2,0
